symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2025-11-18 17:46:00+00:00,268.25,268.3156,267.99,268.02,42500.0,1160.0,268.121834
AAPL,2025-11-18 17:47:00+00:00,268.05,268.3499,268.0401,268.29,25162.0,758.0,268.193525
AAPL,2025-11-18 17:48:00+00:00,268.27,268.49,268.27,268.41,37899.0,871.0,268.423574
AAPL,2025-11-18 17:49:00+00:00,268.42,268.46,268.305,268.35,32322.0,803.0,268.398131
AAPL,2025-11-18 17:50:00+00:00,268.33,268.39,268.16,268.23,39910.0,1038.0,268.285451
AAPL,2025-11-18 17:51:00+00:00,268.25,268.28,268.12,268.19,41523.0,968.0,268.205091
AAPL,2025-11-18 17:52:00+00:00,268.205,268.3615,268.19,268.315,27173.0,705.0,268.279708
AAPL,2025-11-18 17:53:00+00:00,268.32,268.65,268.305,268.5806,387261.0,1345.0,268.506715
AAPL,2025-11-18 17:54:00+00:00,268.59,268.6345,268.48,268.5964,36434.0,881.0,268.573825
AAPL,2025-11-18 17:55:00+00:00,268.58,268.61,268.35,268.54,70927.0,1741.0,268.508583
AAPL,2025-11-18 17:56:00+00:00,268.5358,268.6722,268.535,268.66,247303.0,1331.0,268.605949
AAPL,2025-11-18 17:57:00+00:00,268.63,268.725,268.53,268.61,44815.0,1101.0,268.634438
AAPL,2025-11-18 17:58:00+00:00,268.655,268.79,268.63,268.685,122310.0,2061.0,268.712136
AAPL,2025-11-18 17:59:00+00:00,268.6925,268.73,268.51,268.56,46689.0,1051.0,268.631849
AAPL,2025-11-18 18:00:00+00:00,268.5786,268.83,268.5786,268.63,52127.0,941.0,268.729796
AAPL,2025-11-18 18:01:00+00:00,268.65,268.739,268.52,268.54,30465.0,830.0,268.640181
AAPL,2025-11-18 18:02:00+00:00,268.575,268.61,268.3,268.3,32424.0,841.0,268.484699
AAPL,2025-11-18 18:03:00+00:00,268.29,268.44,268.23,268.29,35878.0,924.0,268.331257
AAPL,2025-11-18 18:04:00+00:00,268.28,268.32,268.18,268.28,28667.0,793.0,268.236237
AAPL,2025-11-18 18:05:00+00:00,268.28,268.35,268.23,268.3,22662.0,818.0,268.30304
AAPL,2025-11-18 18:06:00+00:00,268.29,268.45,268.26,268.415,33626.0,920.0,268.369909
